image,case_type,gt_class,pred_class,pred_conf,iou,gt_xyxy,pred_xyxy,low_same_class_conf,low_same_class_iou,reason
data_add100__3-B-00010.jpg,false_negative,0,1,0.613409,0.245746,"568.2,470.4,1146.8,758.5","307.1,229.5,1535.5,781.7",0.013676,0.884206,matched only below threshold
data_add100__3-B-00010.jpg,false_positive,0,1,0.613409,0.245746,"568.2,470.4,1146.8,758.5","307.1,229.5,1535.5,781.7",,,duplicate/wrong localization/class
data_add100__3-B-00019.jpg,false_positive,0,0,0.461757,0.502418,"322.6,27.5,524.9,648.6","319.4,23.8,641.4,800.5",,,duplicate/wrong localization/class
data_add100__3-B-00023.jpg,false_positive,,0,0.624039,0.000000,,"191.0,94.3,720.3,463.9",,,background
data_add100__3-B-00029.jpg,false_positive,0,0,0.516685,0.000000,"127.8,123.9,524.3,576.2","694.3,133.7,1162.5,704.6",,,duplicate/wrong localization/class
data_add100__3-B-00030.jpg,false_positive,,0,0.527648,0.000000,,"147.6,209.9,994.4,610.5",,,background
data_add100__3-B-00051.jpg,false_positive,0,1,0.544273,0.000000,"215.2,121.3,441.9,351.0","1.1,195.2,77.8,293.6",,,duplicate/wrong localization/class
data_add100__3-B-00061.jpg,false_positive,0,0,0.559002,0.000000,"69.5,274.0,192.6,385.2","419.0,287.5,567.4,396.2",,,duplicate/wrong localization/class
data_add100__3-B-00070.jpg,false_positive,0,0,0.677947,0.000000,"62.0,234.0,204.9,370.4","63.3,47.0,227.5,199.7",,,duplicate/wrong localization/class
data_add100__3-B-00084.jpg,false_positive,0,0,0.646897,0.000000,"107.9,75.1,182.6,215.2","271.2,75.9,346.5,212.0",,,duplicate/wrong localization/class
data_add100__3-B-00099.jpg,false_positive,0,0,0.579075,0.081114,"197.3,231.9,337.4,332.0","275.0,112.5,416.1,276.6",,,duplicate/wrong localization/class
data_add100__3-B-00104.jpg,false_positive,0,0,0.656307,0.009054,"306.8,267.0,495.2,365.4","136.7,10.2,314.3,366.9",,,duplicate/wrong localization/class
data_add100__3-B-00109.jpg,false_negative,0,1,0.599523,0.002998,"163.0,4.1,297.0,221.8","72.9,217.1,195.5,393.2",0.340816,0.984017,matched only below threshold
data_add100__3-B-00109.jpg,false_positive,0,1,0.599523,0.002998,"163.0,4.1,297.0,221.8","72.9,217.1,195.5,393.2",,,duplicate/wrong localization/class
data_add100__3-C-00011.jpg,false_positive,1,1,0.650261,0.020813,"278.5,51.1,515.2,310.4","86.4,79.7,291.7,219.0",,,duplicate/wrong localization/class
data_add100__3-C-00014.jpg,false_positive,1,1,0.475941,0.000000,"272.1,192.5,436.0,262.7","120.3,155.9,187.5,197.5",,,duplicate/wrong localization/class
data_add100__3-C-00032.jpg,false_positive,1,1,0.570714,0.000000,"639.7,403.0,683.6,443.0","422.0,388.4,471.6,438.7",,,duplicate/wrong localization/class
data_add100__3-C-00034.jpg,false_negative,1,,,0.000000,"225.2,140.8,277.2,199.3",,0.414967,0.821284,matched only below threshold
data_add100__3-C-00034.jpg,false_positive,1,1,0.576495,0.141025,"225.2,140.8,277.2,199.3","114.6,98.6,267.0,191.7",,,duplicate/wrong localization/class
data_add100__3-C-00035.jpg,false_positive,1,1,0.686833,0.000000,"153.5,111.8,246.6,152.9","69.4,88.9,107.2,112.9",,,duplicate/wrong localization/class
data_add100__3-C-00036.jpg,false_positive,1,1,0.494587,0.587290,"38.2,61.6,281.5,125.8","35.1,63.9,360.8,141.0",,,duplicate/wrong localization/class
data_add100__3-C-00054.jpg,false_positive,1,1,0.575091,0.000000,"420.5,267.9,447.5,294.2","278.3,255.0,312.8,290.2",,,duplicate/wrong localization/class
data_add100__3-C-00164.jpg,false_negative,2,1,0.477190,0.977368,"386.3,194.9,559.3,571.4","387.8,194.9,561.1,569.9",0.352009,0.977368,matched only below threshold
data_add100__3-C-00164.jpg,false_positive,2,1,0.477190,0.977368,"386.3,194.9,559.3,571.4","387.8,194.9,561.1,569.9",,,duplicate/wrong localization/class
data_add100__3-C-00178.jpg,false_negative,2,1,0.557445,0.862228,"195.7,146.5,338.0,302.6","188.9,144.2,334.1,293.1",0.252416,0.862228,matched only below threshold
data_add100__3-C-00178.jpg,false_positive,2,1,0.557445,0.862228,"195.7,146.5,338.0,302.6","188.9,144.2,334.1,293.1",,,duplicate/wrong localization/class
data_add100__3-C-10046.jpg,false_positive,1,1,0.570257,0.000000,"866.7,107.8,1180.3,516.2","755.7,795.9,1196.8,1249.4",,,duplicate/wrong localization/class
data_add100__3-C-10049.jpg,false_positive,1,1,0.508747,0.000000,"1252.8,601.3,1505.1,1054.4","1703.7,946.8,1972.6,1324.3",,,duplicate/wrong localization/class
data_add100__3-C-40130.jpg,false_positive,1,1,0.498186,0.551835,"555.8,646.9,1545.2,1022.8","397.0,468.4,1563.5,1046.2",,,duplicate/wrong localization/class
data_add100__3-D-00006.jpg,false_negative,2,1,0.778202,0.912081,"99.0,91.8,300.2,196.4","100.2,90.7,301.1,204.2",0.212205,0.912081,matched only below threshold
data_add100__3-D-00006.jpg,false_positive,2,1,0.778202,0.912081,"99.0,91.8,300.2,196.4","100.2,90.7,301.1,204.2",,,duplicate/wrong localization/class
data_add100__3-D-00012.jpg,false_positive,2,2,0.673371,0.000000,"65.3,86.5,210.3,148.2","84.5,299.5,352.8,371.9",,,duplicate/wrong localization/class
data_add100__3-D-00176.jpg,false_negative,2,,,0.000000,"336.0,135.0,405.7,204.7",,0.217213,0.842776,matched only below threshold
data_add100__3-D-00176.jpg,false_positive,2,2,0.530519,0.086564,"336.0,135.0,405.7,204.7","273.6,92.4,430.5,450.5",,,duplicate/wrong localization/class
data_add100__3-D-10032.jpg,false_negative,2,,,0.000000,"1136.2,708.5,1369.5,959.1",,0.362047,0.792295,matched only below threshold
data_add100__3-D-10032.jpg,false_positive,2,2,0.501703,0.036210,"1136.2,708.5,1369.5,959.1","794.8,185.5,1909.5,1633.6",,,duplicate/wrong localization/class
data_add100__3-D-40758.jpg,false_negative,2,,,0.000000,"708.6,221.9,905.4,425.6",,0.282679,0.888096,matched only below threshold
data_add100__3-D-40764.jpg,false_negative,2,,,0.000000,"315.9,891.9,382.6,961.5",,0.380543,0.867311,matched only below threshold
